quarter,end,aws_revenue,aws_revenue_source,aws_revenue_yoy
2019Q3,2019-09-30,8995000000.0,sec_xbrl,
2020Q1,2020-03-31,10219000000.0,sec_xbrl,
2020Q2,2020-06-30,10808000000.0,sec_xbrl,
2020Q3,2020-09-30,11601000000.0,sec_xbrl,0.28971650917176217
2020Q4,2020-12-31,12742000000.0,fy_residual,
2021Q1,2021-03-31,13503000000.0,sec_xbrl,0.32136216850963883
2021Q2,2021-06-30,14809000000.0,sec_xbrl,0.3701887490747595
2021Q3,2021-09-30,16110000000.0,sec_xbrl,0.3886733902249806
2021Q4,2021-12-31,17780000000.0,fy_residual,0.3953853398210643
2022Q1,2022-03-31,18441000000.0,sec_xbrl,0.3656965118862474
2022Q2,2022-06-30,19739000000.0,sec_xbrl,0.3329056654736984
2022Q3,2022-09-30,20538000000.0,sec_xbrl,0.27486033519553077
2022Q4,2022-12-31,21378000000.0,fy_residual,0.20236220472440936
2023Q1,2023-03-31,21354000000.0,sec_xbrl,0.157963234097934
2023Q2,2023-06-30,22140000000.0,sec_xbrl,0.12163736764780375
2023Q3,2023-09-30,23059000000.0,sec_xbrl,0.1227480767358069
2023Q4,2023-12-31,24204000000.0,fy_residual,0.13219197305641317
2024Q1,2024-03-31,25037000000.0,sec_xbrl,0.1724735412569074
2024Q2,2024-06-30,26281000000.0,sec_xbrl,0.1870370370370371
2024Q3,2024-09-30,27452000000.0,sec_xbrl,0.1905112971074201
2024Q4,2024-12-31,28786000000.0,fy_residual,0.189307552470666
2025Q1,2025-03-31,29267000000.0,sec_xbrl,0.1689499540679793
2025Q2,2025-06-30,30873000000.0,sec_xbrl,0.17472698907956308
2025Q3,2025-09-30,33006000000.0,sec_xbrl,0.20231677109135937
2025Q4,2025-12-31,35579000000.0,fy_residual,0.23598276940179264
2026Q1,2026-03-31,37587000000.0,sec_xbrl,0.2842792223323196
2026Q2,2026-06-30,42232000000.0,sec_xbrl,0.36792666731448187
