quarter,end,gcp_revenue,gcp_revenue_source,gcp_revenue_yoy
2022Q2,2022-06-30,6276000000.0,sec_xbrl,
2022Q3,2022-09-30,6868000000.0,sec_xbrl,
2023Q1,2023-03-31,7454000000.0,sec_xbrl,
2023Q2,2023-06-30,8031000000.0,sec_xbrl,0.2796367112810707
2023Q3,2023-09-30,8411000000.0,sec_xbrl,0.22466511357018049
2023Q4,2023-12-31,9192000000.0,fy_residual,
2024Q1,2024-03-31,9574000000.0,sec_xbrl,0.2844110544674001
2024Q2,2024-06-30,10347000000.0,sec_xbrl,0.2883825177437429
2024Q3,2024-09-30,11353000000.0,sec_xbrl,0.34978004993460954
2024Q4,2024-12-31,11955000000.0,fy_residual,0.3005874673629243
2025Q1,2025-03-31,12260000000.0,sec_xbrl,0.28055149362857734
2025Q2,2025-06-30,13624000000.0,sec_xbrl,0.31671015753358467
2025Q3,2025-09-30,15157000000.0,sec_xbrl,0.33506562142165075
2025Q4,2025-12-31,17664000000.0,fy_residual,0.4775407779171894
2026Q1,2026-03-31,20028000000.0,sec_xbrl,0.6336052202283851
2026Q2,2026-06-30,24768000000.0,sec_xbrl,0.817968291250734
