quarter,end,msft_ic_revenue,msft_ic_revenue_source,msft_ic_revenue_yoy
2019Q3,2019-09-30,10845000000.0,sec_xbrl,
2019Q4,2019-12-31,11869000000.0,sec_xbrl,
2020Q1,2020-03-31,12281000000.0,sec_xbrl,
2020Q3,2020-09-30,12986000000.0,sec_xbrl,0.1974181650530198
2020Q4,2020-12-31,14601000000.0,sec_xbrl,0.23017945909512183
2021Q1,2021-03-31,15118000000.0,sec_xbrl,0.23100724696685937
2021Q3,2021-09-30,16964000000.0,sec_xbrl,0.30632989373171116
2021Q4,2021-12-31,18327000000.0,sec_xbrl,0.25518800082186144
2022Q1,2022-03-31,19051000000.0,sec_xbrl,0.2601534594523085
2022Q3,2022-09-30,20325000000.0,sec_xbrl,0.19812544211270922
2022Q4,2022-12-31,21508000000.0,sec_xbrl,0.17356905112675292
2023Q1,2023-03-31,22081000000.0,sec_xbrl,0.15904676919846716
2023Q3,2023-09-30,24259000000.0,sec_xbrl,0.19355473554735547
2023Q4,2023-12-31,25880000000.0,sec_xbrl,0.20327320066951837
2024Q1,2024-03-31,26708000000.0,sec_xbrl,0.20954666908201625
2024Q3,2024-09-30,24092000000.0,sec_xbrl,-0.006884043035574439
2024Q4,2024-12-31,25544000000.0,sec_xbrl,-0.012982998454404981
2025Q1,2025-03-31,26751000000.0,sec_xbrl,0.0016100044930358326
2025Q3,2025-09-30,30897000000.0,sec_xbrl,0.28245890752116876
2025Q4,2025-12-31,32907000000.0,sec_xbrl,0.2882477294080801
2026Q1,2026-03-31,34681000000.0,sec_xbrl,0.29643751635452875
