year,qtr,quarter,end,start,revenue,frame,form,source
2018,3,2018Q3,2018-09-30,2018-07-01,51074000.0,CY2018Q3,10-Q,sec_frame
2019,1,2019Q1,2019-03-31,2019-01-01,70050000.0,CY2019Q1,10-Q,sec_frame
2019,2,2019Q2,2019-06-30,2019-04-01,83222000.0,CY2019Q2,10-Q,sec_frame
2019,3,2019Q3,2019-09-30,2019-07-01,95864000.0,CY2019Q3,10-Q,sec_frame
2019,4,2019Q4,2019-12-31,2019-10-01,113644000.0,CY2019Q4,10-K,fy_residual
2020,1,2020Q1,2020-03-31,2020-01-01,131248000.0,CY2020Q1,10-Q,sec_frame
2020,2,2020Q2,2020-06-30,2020-04-01,140012000.0,CY2020Q2,10-Q,sec_frame
2020,3,2020Q3,2020-09-30,2020-07-01,154675000.0,CY2020Q3,10-Q,sec_frame
2020,4,2020Q4,2020-12-31,2020-10-01,177531000.0,CY2020Q4,10-K,fy_residual
2021,1,2021Q1,2021-03-31,2021-01-01,198549000.0,CY2021Q1,10-Q,sec_frame
2021,2,2021Q2,2021-06-30,2021-04-01,233549000.0,CY2021Q2,10-Q,sec_frame
2021,3,2021Q3,2021-09-30,2021-07-01,270488000.0,CY2021Q3,10-Q,sec_frame
2021,4,2021Q4,2021-12-31,2021-10-01,326198000.0,CY2021Q4,10-K,fy_residual
2022,1,2022Q1,2022-03-31,2022-01-01,363030000.0,CY2022Q1,10-Q,sec_frame
2022,2,2022Q2,2022-06-30,2022-04-01,406138000.0,CY2022Q2,10-Q,sec_frame
2022,3,2022Q3,2022-09-30,2022-07-01,436533000.0,CY2022Q3,10-Q,sec_frame
2022,4,2022Q4,2022-12-31,2022-10-01,469399000.0,CY2022Q4,10-K,fy_residual
2023,1,2023Q1,2023-03-31,2023-01-01,481714000.0,CY2023Q1,10-Q,sec_frame
2023,2,2023Q2,2023-06-30,2023-04-01,509460000.0,CY2023Q2,10-Q,sec_frame
2023,3,2023Q3,2023-09-30,2023-07-01,547536000.0,CY2023Q3,10-Q,sec_frame
2023,4,2023Q4,2023-12-31,2023-10-01,589649000.0,CY2023Q4,10-K,fy_residual
2024,1,2024Q1,2024-03-31,2024-01-01,611253000.0,CY2024Q1,10-Q,sec_frame
2024,2,2024Q2,2024-06-30,2024-04-01,645279000.0,CY2024Q2,10-Q,sec_frame
2024,3,2024Q3,2024-09-30,2024-07-01,690016000.0,CY2024Q3,10-Q,sec_frame
2024,4,2024Q4,2024-12-31,2024-10-01,737727000.0,CY2024Q4,10-K,fy_residual
2025,1,2025Q1,2025-03-31,2025-01-01,761553000.0,CY2025Q1,10-Q,sec_frame
2025,2,2025Q2,2025-06-30,2025-04-01,826760000.0,CY2025Q2,10-Q,sec_frame
2025,3,2025Q3,2025-09-30,2025-07-01,885651000.0,CY2025Q3,10-Q,sec_frame
2025,4,2025Q4,2025-12-31,2025-10-01,953194000.0,CY2025Q4,10-K,fy_residual
2026,1,2026Q1,2026-03-31,2026-01-01,1006426000.0,CY2026Q1,10-Q,sec_frame
2026,2,2026Q2,2026-06-30,2026-04-01,1121454000.0,CY2026Q2,10-Q,sec_frame
