date,day,quarter,package,browser_rum_downloads
2021-07-01,2021-07-01,2021Q3,@datadog/browser-rum,41986
2021-07-02,2021-07-02,2021Q3,@datadog/browser-rum,33088
2021-07-03,2021-07-03,2021Q3,@datadog/browser-rum,2665
2021-07-04,2021-07-04,2021Q3,@datadog/browser-rum,3031
2021-07-05,2021-07-05,2021Q3,@datadog/browser-rum,24464
2021-07-06,2021-07-06,2021Q3,@datadog/browser-rum,40366
2021-07-07,2021-07-07,2021Q3,@datadog/browser-rum,45313
2021-07-08,2021-07-08,2021Q3,@datadog/browser-rum,44913
2021-07-09,2021-07-09,2021Q3,@datadog/browser-rum,37136
2021-07-10,2021-07-10,2021Q3,@datadog/browser-rum,3362
2021-07-11,2021-07-11,2021Q3,@datadog/browser-rum,3233
2021-07-12,2021-07-12,2021Q3,@datadog/browser-rum,40910
2021-07-13,2021-07-13,2021Q3,@datadog/browser-rum,44301
2021-07-14,2021-07-14,2021Q3,@datadog/browser-rum,42159
2021-07-15,2021-07-15,2021Q3,@datadog/browser-rum,42758
2021-07-16,2021-07-16,2021Q3,@datadog/browser-rum,36186
2021-07-17,2021-07-17,2021Q3,@datadog/browser-rum,3736
2021-07-18,2021-07-18,2021Q3,@datadog/browser-rum,3937
2021-07-19,2021-07-19,2021Q3,@datadog/browser-rum,40966
2021-07-20,2021-07-20,2021Q3,@datadog/browser-rum,41876
2021-07-21,2021-07-21,2021Q3,@datadog/browser-rum,45914
2021-07-22,2021-07-22,2021Q3,@datadog/browser-rum,42485
2021-07-23,2021-07-23,2021Q3,@datadog/browser-rum,36694
2021-07-24,2021-07-24,2021Q3,@datadog/browser-rum,4719
2021-07-25,2021-07-25,2021Q3,@datadog/browser-rum,3814
2021-07-26,2021-07-26,2021Q3,@datadog/browser-rum,44565
2021-07-27,2021-07-27,2021Q3,@datadog/browser-rum,45121
2021-07-28,2021-07-28,2021Q3,@datadog/browser-rum,45260
2021-07-29,2021-07-29,2021Q3,@datadog/browser-rum,48559
2021-07-30,2021-07-30,2021Q3,@datadog/browser-rum,41460
2021-07-31,2021-07-31,2021Q3,@datadog/browser-rum,5862
2021-08-01,2021-08-01,2021Q3,@datadog/browser-rum,5390
2021-08-02,2021-08-02,2021Q3,@datadog/browser-rum,42520
2021-08-03,2021-08-03,2021Q3,@datadog/browser-rum,45407
2021-08-04,2021-08-04,2021Q3,@datadog/browser-rum,45479
2021-08-05,2021-08-05,2021Q3,@datadog/browser-rum,44638
2021-08-06,2021-08-06,2021Q3,@datadog/browser-rum,36496
2021-08-07,2021-08-07,2021Q3,@datadog/browser-rum,4131
2021-08-08,2021-08-08,2021Q3,@datadog/browser-rum,4101
2021-08-09,2021-08-09,2021Q3,@datadog/browser-rum,41756
2021-08-10,2021-08-10,2021Q3,@datadog/browser-rum,46058
2021-08-11,2021-08-11,2021Q3,@datadog/browser-rum,49500
2021-08-12,2021-08-12,2021Q3,@datadog/browser-rum,46426
2021-08-13,2021-08-13,2021Q3,@datadog/browser-rum,40309
2021-08-14,2021-08-14,2021Q3,@datadog/browser-rum,4645
2021-08-15,2021-08-15,2021Q3,@datadog/browser-rum,4871
2021-08-16,2021-08-16,2021Q3,@datadog/browser-rum,45618
2021-08-17,2021-08-17,2021Q3,@datadog/browser-rum,50038
2021-08-18,2021-08-18,2021Q3,@datadog/browser-rum,50472
2021-08-19,2021-08-19,2021Q3,@datadog/browser-rum,49541
2021-08-20,2021-08-20,2021Q3,@datadog/browser-rum,41981
2021-08-21,2021-08-21,2021Q3,@datadog/browser-rum,4108
2021-08-22,2021-08-22,2021Q3,@datadog/browser-rum,3526
2021-08-23,2021-08-23,2021Q3,@datadog/browser-rum,45666
2021-08-24,2021-08-24,2021Q3,@datadog/browser-rum,48073
2021-08-25,2021-08-25,2021Q3,@datadog/browser-rum,51920
2021-08-26,2021-08-26,2021Q3,@datadog/browser-rum,51274
2021-08-27,2021-08-27,2021Q3,@datadog/browser-rum,41809
2021-08-28,2021-08-28,2021Q3,@datadog/browser-rum,5738
2021-08-29,2021-08-29,2021Q3,@datadog/browser-rum,4545
2021-08-30,2021-08-30,2021Q3,@datadog/browser-rum,47752
2021-08-31,2021-08-31,2021Q3,@datadog/browser-rum,57361
2021-09-01,2021-09-01,2021Q3,@datadog/browser-rum,56372
2021-09-02,2021-09-02,2021Q3,@datadog/browser-rum,53394
2021-09-03,2021-09-03,2021Q3,@datadog/browser-rum,42677
2021-09-04,2021-09-04,2021Q3,@datadog/browser-rum,4419
2021-09-05,2021-09-05,2021Q3,@datadog/browser-rum,4480
2021-09-06,2021-09-06,2021Q3,@datadog/browser-rum,31583
2021-09-07,2021-09-07,2021Q3,@datadog/browser-rum,49965
2021-09-08,2021-09-08,2021Q3,@datadog/browser-rum,55087
2021-09-09,2021-09-09,2021Q3,@datadog/browser-rum,57690
2021-09-10,2021-09-10,2021Q3,@datadog/browser-rum,51763
2021-09-11,2021-09-11,2021Q3,@datadog/browser-rum,5847
2021-09-12,2021-09-12,2021Q3,@datadog/browser-rum,4770
2021-09-13,2021-09-13,2021Q3,@datadog/browser-rum,56283
2021-09-14,2021-09-14,2021Q3,@datadog/browser-rum,57743
2021-09-15,2021-09-15,2021Q3,@datadog/browser-rum,54998
2021-09-16,2021-09-16,2021Q3,@datadog/browser-rum,58610
2021-09-17,2021-09-17,2021Q3,@datadog/browser-rum,47968
2021-09-18,2021-09-18,2021Q3,@datadog/browser-rum,5406
2021-09-19,2021-09-19,2021Q3,@datadog/browser-rum,5153
2021-09-20,2021-09-20,2021Q3,@datadog/browser-rum,53426
2021-09-21,2021-09-21,2021Q3,@datadog/browser-rum,56968
2021-09-22,2021-09-22,2021Q3,@datadog/browser-rum,56509
2021-09-23,2021-09-23,2021Q3,@datadog/browser-rum,62346
2021-09-24,2021-09-24,2021Q3,@datadog/browser-rum,52877
2021-09-25,2021-09-25,2021Q3,@datadog/browser-rum,7414
2021-09-26,2021-09-26,2021Q3,@datadog/browser-rum,7826
2021-09-27,2021-09-27,2021Q3,@datadog/browser-rum,61648
2021-09-28,2021-09-28,2021Q3,@datadog/browser-rum,64208
2021-09-29,2021-09-29,2021Q3,@datadog/browser-rum,66358
2021-09-30,2021-09-30,2021Q3,@datadog/browser-rum,64327
2021-10-01,2021-10-01,2021Q4,@datadog/browser-rum,54710
2021-10-02,2021-10-02,2021Q4,@datadog/browser-rum,8155
2021-10-03,2021-10-03,2021Q4,@datadog/browser-rum,8531
2021-10-04,2021-10-04,2021Q4,@datadog/browser-rum,65195
2021-10-05,2021-10-05,2021Q4,@datadog/browser-rum,66129
2021-10-06,2021-10-06,2021Q4,@datadog/browser-rum,70355
