date,quarter,wiki_datadog_views
2018-01-01,2018Q1,3673
2018-02-01,2018Q1,3566
2018-03-01,2018Q1,4627
2018-04-01,2018Q2,4935
2018-05-01,2018Q2,5264
2018-06-01,2018Q2,5016
2018-07-01,2018Q3,4927
2018-08-01,2018Q3,4976
2018-09-01,2018Q3,5368
2018-10-01,2018Q4,6117
2018-11-01,2018Q4,5448
2018-12-01,2018Q4,4670
2019-01-01,2019Q1,6424
2019-02-01,2019Q1,6618
2019-03-01,2019Q1,6862
2019-04-01,2019Q2,7212
2019-05-01,2019Q2,6948
2019-06-01,2019Q2,6773
2019-07-01,2019Q3,7450
2019-08-01,2019Q3,9700
2019-09-01,2019Q3,27295
2019-10-01,2019Q4,20059
2019-11-01,2019Q4,14197
2019-12-01,2019Q4,14176
2020-01-01,2020Q1,19624
2020-02-01,2020Q1,21074
2020-03-01,2020Q1,94775
2020-04-01,2020Q2,175420
2020-05-01,2020Q2,20881
2020-06-01,2020Q2,14272
2020-07-01,2020Q3,14628
2020-08-01,2020Q3,20994
2020-09-01,2020Q3,16129
2020-10-01,2020Q4,14181
2020-11-01,2020Q4,13539
2020-12-01,2020Q4,11100
2021-01-01,2021Q1,11583
2021-02-01,2021Q1,11879
2021-03-01,2021Q1,15125
2021-04-01,2021Q2,11239
2021-05-01,2021Q2,10092
2021-06-01,2021Q2,8814
2021-07-01,2021Q3,9235
2021-08-01,2021Q3,11177
2021-09-01,2021Q3,11905
2021-10-01,2021Q4,11478
2021-11-01,2021Q4,13128
2021-12-01,2021Q4,10218
2022-01-01,2022Q1,11953
2022-02-01,2022Q1,13162
2022-03-01,2022Q1,13239
2022-04-01,2022Q2,12616
2022-05-01,2022Q2,12437
2022-06-01,2022Q2,11722
2022-07-01,2022Q3,11395
2022-08-01,2022Q3,12659
2022-09-01,2022Q3,12007
2022-10-01,2022Q4,12092
2022-11-01,2022Q4,13164
2022-12-01,2022Q4,10150
2023-01-01,2023Q1,11532
2023-02-01,2023Q1,11043
2023-03-01,2023Q1,13265
2023-04-01,2023Q2,10487
2023-05-01,2023Q2,13753
2023-06-01,2023Q2,11634
2023-07-01,2023Q3,11179
2023-08-01,2023Q3,13273
2023-09-01,2023Q3,12085
2023-10-01,2023Q4,11730
2023-11-01,2023Q4,14347
2023-12-01,2023Q4,12413
2024-01-01,2024Q1,23692
2024-02-01,2024Q1,20172
2024-03-01,2024Q1,18302
2024-04-01,2024Q2,13369
2024-05-01,2024Q2,13834
2024-06-01,2024Q2,12029
2024-07-01,2024Q3,14119
2024-08-01,2024Q3,12497
2024-09-01,2024Q3,13526
2024-10-01,2024Q4,12952
2024-11-01,2024Q4,14611
2024-12-01,2024Q4,12002
2025-01-01,2025Q1,31781
2025-02-01,2025Q1,41257
2025-03-01,2025Q1,36886
2025-04-01,2025Q2,51717
2025-05-01,2025Q2,51550
2025-06-01,2025Q2,44872
2025-07-01,2025Q3,51410
2025-08-01,2025Q3,45962
2025-09-01,2025Q3,55046
2025-10-01,2025Q4,64917
2025-11-01,2025Q4,62381
2025-12-01,2025Q4,62609
2026-01-01,2026Q1,46513
2026-02-01,2026Q1,25776
2026-03-01,2026Q1,11095
2026-04-01,2026Q2,11312
2026-05-01,2026Q2,13288
2026-06-01,2026Q2,10606
2026-07-01,2026Q3,9436
2026-08-01,2026Q3,10360
2026-09-01,2026Q3,397
