date,quarter,wiki_newrelic_views
2018-01-01,2018Q1,6655
2018-02-01,2018Q1,5956
2018-03-01,2018Q1,6986
2018-04-01,2018Q2,7008
2018-05-01,2018Q2,8119
2018-06-01,2018Q2,7701
2018-07-01,2018Q3,7147
2018-08-01,2018Q3,7529
2018-09-01,2018Q3,7122
2018-10-01,2018Q4,7832
2018-11-01,2018Q4,6583
2018-12-01,2018Q4,5520
2019-01-01,2019Q1,7189
2019-02-01,2019Q1,6649
2019-03-01,2019Q1,6604
2019-04-01,2019Q2,6550
2019-05-01,2019Q2,6852
2019-06-01,2019Q2,6561
2019-07-01,2019Q3,6809
2019-08-01,2019Q3,9075
2019-09-01,2019Q3,7287
2019-10-01,2019Q4,7897
2019-11-01,2019Q4,7725
2019-12-01,2019Q4,6291
2020-01-01,2020Q1,7545
2020-02-01,2020Q1,7082
2020-03-01,2020Q1,6096
2020-04-01,2020Q2,6320
2020-05-01,2020Q2,7323
2020-06-01,2020Q2,6055
2020-07-01,2020Q3,6138
2020-08-01,2020Q3,6280
2020-09-01,2020Q3,5871
2020-10-01,2020Q4,6282
2020-11-01,2020Q4,5631
2020-12-01,2020Q4,5411
2021-01-01,2021Q1,5693
2021-02-01,2021Q1,5795
2021-03-01,2021Q1,5728
2021-04-01,2021Q2,4944
2021-05-01,2021Q2,4526
2021-06-01,2021Q2,4375
2021-07-01,2021Q3,5488
2021-08-01,2021Q3,4983
2021-09-01,2021Q3,4977
2021-10-01,2021Q4,5500
2021-11-01,2021Q4,5071
2021-12-01,2021Q4,4094
2022-01-01,2022Q1,4841
2022-02-01,2022Q1,5234
2022-03-01,2022Q1,5159
2022-04-01,2022Q2,4792
2022-05-01,2022Q2,5414
2022-06-01,2022Q2,4883
2022-07-01,2022Q3,4663
2022-08-01,2022Q3,4865
2022-09-01,2022Q3,9843
2022-10-01,2022Q4,22606
2022-11-01,2022Q4,22113
2022-12-01,2022Q4,21636
2023-01-01,2023Q1,22175
2023-02-01,2023Q1,20524
2023-03-01,2023Q1,22153
2023-04-01,2023Q2,20843
2023-05-01,2023Q2,22714
2023-06-01,2023Q2,21352
2023-07-01,2023Q3,22507
2023-08-01,2023Q3,133888
2023-09-01,2023Q3,159024
2023-10-01,2023Q4,168123
2023-11-01,2023Q4,170999
2023-12-01,2023Q4,146258
2024-01-01,2024Q1,135581
2024-02-01,2024Q1,139159
2024-03-01,2024Q1,157721
2024-04-01,2024Q2,195951
2024-05-01,2024Q2,202157
2024-06-01,2024Q2,194334
2024-07-01,2024Q3,200954
2024-08-01,2024Q3,201782
2024-09-01,2024Q3,202076
2024-10-01,2024Q4,208067
2024-11-01,2024Q4,199872
2024-12-01,2024Q4,206595
2025-01-01,2025Q1,210331
2025-02-01,2025Q1,189955
2025-03-01,2025Q1,214015
2025-04-01,2025Q2,202644
2025-05-01,2025Q2,203409
2025-06-01,2025Q2,189296
2025-07-01,2025Q3,198328
2025-08-01,2025Q3,207985
2025-09-01,2025Q3,200262
2025-10-01,2025Q4,206316
2025-11-01,2025Q4,199148
2025-12-01,2025Q4,204977
2026-01-01,2026Q1,208476
2026-02-01,2026Q1,187584
2026-03-01,2026Q1,207249
2026-04-01,2026Q2,198132
2026-05-01,2026Q2,203544
2026-06-01,2026Q2,197928
2026-07-01,2026Q3,204766
2026-08-01,2026Q3,204983
2026-09-01,2026Q3,6602
