year,qtr,quarter,end,start,revenue,frame,form,source,revenue_yoy,browser_rum_downloads,browser_rum_downloads_n_days,browser_rum_downloads_coverage,browser_rum_downloads_complete,browser_rum_downloads_yoy,dd_trace_downloads,dd_trace_downloads_n_days,dd_trace_downloads_coverage,dd_trace_downloads_complete,dd_trace_downloads_yoy,aws_revenue,aws_revenue_source,aws_revenue_yoy,gcp_revenue,gcp_revenue_source,gcp_revenue_yoy,msft_ic_revenue,msft_ic_revenue_source,msft_ic_revenue_yoy,wiki_datadog_views,wiki_datadog_views_n_months,wiki_datadog_views_coverage,wiki_datadog_views_complete,wiki_datadog_views_yoy,wiki_newrelic_views,wiki_newrelic_views_n_months,wiki_newrelic_views_coverage,wiki_newrelic_views_complete,wiki_newrelic_views_yoy,signals_complete,qc_flags,browser_rum_downloads_yoy_lag1,dd_trace_downloads_yoy_lag1,aws_revenue_yoy_lag1,gcp_revenue_yoy_lag1,msft_ic_revenue_yoy_lag1,wiki_datadog_views_yoy_lag1,wiki_newrelic_views_yoy_lag1
2018,3,2018Q3,2018-09-30,2018-07-01,51074000.0,CY2018Q3,10-Q,sec_frame,,,,,,,,,,,,,,,,,,,,,15271,3,1.0,True,,21798,3,1.0,True,,False,"missing:browser_rum_downloads,missing:dd_trace_downloads",,,,,,,
2019,1,2019Q1,2019-03-31,2019-01-01,70050000.0,CY2019Q1,10-Q,sec_frame,,,,,,,,,,,,,,,,,,,,,19904,3,1.0,True,0.6773976066071128,20442,3,1.0,True,0.04311884472113081,False,"missing:browser_rum_downloads,missing:dd_trace_downloads",,,,,,,
2019,2,2019Q2,2019-06-30,2019-04-01,83222000.0,CY2019Q2,10-Q,sec_frame,,,,,,,,,,,,,,,,,,,,,20933,3,1.0,True,0.3758133420966152,19963,3,1.0,True,-0.1255037673033117,False,"missing:browser_rum_downloads,missing:dd_trace_downloads",,,,,,0.6773976066071128,0.04311884472113081
2019,3,2019Q3,2019-09-30,2019-07-01,95864000.0,CY2019Q3,10-Q,sec_frame,0.8769628382347183,,,,,,,,,,,8995000000.0,sec_xbrl,,,,,10845000000.0,sec_xbrl,,44445,3,1.0,True,1.910418440180735,23171,3,1.0,True,0.06298743003945306,False,"missing:browser_rum_downloads,missing:dd_trace_downloads",,,,,,0.3758133420966152,-0.1255037673033117
2019,4,2019Q4,2019-12-31,2019-10-01,113644000.0,CY2019Q4,10-K,fy_residual,,,,,,,,,,,,,,,,,,11869000000.0,sec_xbrl,,48432,3,1.0,True,1.9831844779796737,21913,3,1.0,True,0.09922247303737142,False,"q4_derived_from_fy,missing:browser_rum_downloads,missing:dd_trace_downloads",,,,,,1.910418440180735,0.06298743003945306
2020,1,2020Q1,2020-03-31,2020-01-01,131248000.0,CY2020Q1,10-Q,sec_frame,0.8736331192005711,,,,,,,,,,,10219000000.0,sec_xbrl,,,,,12281000000.0,sec_xbrl,,135473,3,1.0,True,5.806320337620579,20723,3,1.0,True,0.013746208785833103,False,"missing:browser_rum_downloads,missing:dd_trace_downloads",,,,,,1.9831844779796737,0.09922247303737142
2020,2,2020Q2,2020-06-30,2020-04-01,140012000.0,CY2020Q2,10-Q,sec_frame,0.6823916752781716,,,,,,,,,,,10808000000.0,sec_xbrl,,,,,,,,210573,3,1.0,True,9.05937992643195,19698,3,1.0,True,-0.013274557932174469,False,"missing:browser_rum_downloads,missing:dd_trace_downloads",,,,,,5.806320337620579,0.013746208785833103
2020,3,2020Q3,2020-09-30,2020-07-01,154675000.0,CY2020Q3,10-Q,sec_frame,0.6134836852207293,,,,,,,,,,,11601000000.0,sec_xbrl,0.28971650917176217,,,,12986000000.0,sec_xbrl,0.1974181650530198,51751,3,1.0,True,0.16438294521318486,18289,3,1.0,True,-0.2106944024858659,False,"missing:browser_rum_downloads,missing:dd_trace_downloads",,,,,,9.05937992643195,-0.013274557932174469
2020,4,2020Q4,2020-12-31,2020-10-01,177531000.0,CY2020Q4,10-K,fy_residual,0.5621678223223399,,,,,,,,,,,12742000000.0,fy_residual,,,,,14601000000.0,sec_xbrl,0.23017945909512183,38820,3,1.0,True,-0.1984638255698712,17324,3,1.0,True,-0.20941906630767126,False,"q4_derived_from_fy,missing:browser_rum_downloads,missing:dd_trace_downloads",,,0.28971650917176217,,0.1974181650530198,0.16438294521318486,-0.2106944024858659
2021,1,2021Q1,2021-03-31,2021-01-01,198549000.0,CY2021Q1,10-Q,sec_frame,0.5127773375594296,,,,,,,,,,,13503000000.0,sec_xbrl,0.32136216850963883,,,,15118000000.0,sec_xbrl,0.23100724696685937,38587,3,1.0,True,-0.7151683361260177,17216,3,1.0,True,-0.16923225401727549,False,"missing:browser_rum_downloads,missing:dd_trace_downloads",,,,,0.23017945909512183,-0.1984638255698712,-0.20941906630767126
2021,2,2021Q2,2021-06-30,2021-04-01,233549000.0,CY2021Q2,10-Q,sec_frame,0.6680641659286346,,,,,,,,,,,14809000000.0,sec_xbrl,0.3701887490747595,,,,,,,30145,3,1.0,True,-0.8568429950658442,13845,3,1.0,True,-0.2971367651538227,False,"missing:browser_rum_downloads,missing:dd_trace_downloads",,,0.32136216850963883,,0.23100724696685937,-0.7151683361260177,-0.16923225401727549
2021,3,2021Q3,2021-09-30,2021-07-01,270488000.0,CY2021Q3,10-Q,sec_frame,0.7487506061095845,3260103.0,92.0,1.0,True,,14688073.0,92.0,1.0,True,,16110000000.0,sec_xbrl,0.3886733902249806,,,,16964000000.0,sec_xbrl,0.30632989373171116,32317,3,1.0,True,-0.3755289752855018,15448,3,1.0,True,-0.1553392749740281,True,,,,0.3701887490747595,,,-0.8568429950658442,-0.2971367651538227
2021,4,2021Q4,2021-12-31,2021-10-01,326198000.0,CY2021Q4,10-K,fy_residual,0.8374143107400962,6028900.0,92.0,1.0,True,,15283704.0,92.0,1.0,True,,17780000000.0,fy_residual,0.3953853398210643,,,,18327000000.0,sec_xbrl,0.25518800082186144,34824,3,1.0,True,-0.10293663060278202,14665,3,1.0,True,-0.15348649272685289,True,q4_derived_from_fy,,,0.3886733902249806,,0.30632989373171116,-0.3755289752855018,-0.1553392749740281
